GeneID	GeneName	Family_Subfamily	Protein_Class	GO_MF	GO_BP	GO_CC
SORBI_3002G154300	Receptor-like serine_threonine-protein kinase	RECEPTOR-LIKE SERINE_THREONINE-PROTEIN KINASE (PTHR47975:SF51)		nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);protein serine kinase activity(GO:0106310)	recognition of pollen(GO:0048544);response to other organism(GO:0051707)	plasma membrane(GO:0005886)
SORBI_3003G371900	Uncharacterized protein	OS04G0577000 PROTEIN (PTHR12555:SF16)		polyubiquitin modification-dependent protein binding(GO:0031593)	ubiquitin-dependent protein catabolic process(GO:0006511);ERAD pathway(GO:0036503)	VCP-NPL4-UFD1 AAA ATPase complex(GO:0034098)
SORBI_3010G024800	F-box domain-containing protein	F-BOX DOMAIN-CONTAINING PROTEIN (PTHR34709:SF26)				
SORBI_3006G140500	Protein LOW PSII ACCUMULATION 1, chloroplastic	LOW PSII ACCUMULATION-LIKE PROTEIN (PTHR35498:SF1)				
SORBI_3001G130000	Uncharacterized protein	EXPRESSED PROTEIN (PTHR31676:SF71)				
SORBI_3002G078900	Agenet-like domain-containing protein	PROTEIN SPINDLY (PTHR32123:SF9)	membrane trafficking regulatory protein(PC00151)			
SORBI_3002G303800	Spindle and kinetochore-associated protein 1 homolog	SPINDLE AND KINETOCHORE-ASSOCIATED PROTEIN 1 (PTHR28573:SF1)		microtubule binding(GO:0008017)	mitotic cell cycle(GO:0000278);chromosome segregation(GO:0007059);regulation of microtubule polymerization or depolymerization(GO:0031110);cell division(GO:0051301)	outer kinetochore(GO:0000940);spindle microtubule(GO:0005876);mitotic spindle(GO:0072686)
SORBI_3006G025066	LysM domain-containing protein	OS01G0783000 PROTEIN (PTHR34997:SF22)		chitin binding(GO:0008061)		plasma membrane(GO:0005886)
SORBI_3003G222800	Fungal lipase-like domain-containing protein	PHOSPHOLIPASE A1 PLIP1, CHLOROPLASTIC (PTHR46483:SF1)	phospholipase(PC00186)	glycerophospholipid phospholipase A1 activity(GO:0008970)	lipid metabolic process(GO:0006629)	chloroplast thylakoid(GO:0009534)
SORBI_3006G169950	Uncharacterized protein					
SORBI_3002G334800	Uncharacterized protein					
SORBI_3005G203000	Uncharacterized protein	OS11G0438700 PROTEIN (PTHR42898:SF39)	reductase(PC00198)	oxidoreductase activity(GO:0016491)		
SORBI_3010G035700	Uncharacterized protein	OS06G0146800 PROTEIN (PTHR46610:SF14)				
SORBI_3003G186350	DUF4371 domain-containing protein	ZINC FINGER, MYM DOMAIN CONTAINING 1 (PTHR11697:SF230)				
SORBI_3001G102150	Uncharacterized protein					
SORBI_3001G292400	Uncharacterized protein	EXPRESSED PROTEIN (PTHR35486:SF8)				
SORBI_3006G061100	CBS domain-containing protein	SUCROSE NONFERMENTING 4-LIKE PROTEIN ISOFORM X1 (PTHR13780:SF131)	kinase modulator(PC00140)		regulation of glycolytic process(GO:0006110);positive regulation of gluconeogenesis(GO:0045722)	chloroplast(GO:0009507)
SORBI_3001G318300	Glutathione S-transferase	GLUTATHIONE TRANSFERASE (PTHR11260:SF786)	transferase(PC00220)	glutathione transferase activity(GO:0004364)	glutathione metabolic process(GO:0006749)	
SORBI_3001G410500	Uncharacterized protein					
SORBI_3007G195800	GDT1 family protein	GDT1-LIKE PROTEIN 3 (PTHR12608:SF9)		metal ion transmembrane transporter activity(GO:0046873)	Golgi calcium ion homeostasis(GO:0032468);Golgi calcium ion transport(GO:0032472)	Golgi apparatus(GO:0005794);membrane(GO:0016020)
SORBI_3010G171200	Uncharacterized protein					
SORBI_3009G122000	Annexin	ANNEXIN D3 (PTHR10502:SF99)	calcium-binding protein(PC00060)	phosphatidylserine binding(GO:0001786);calcium ion binding(GO:0005509);calcium-dependent phospholipid binding(GO:0005544)	response to stress(GO:0006950)	plasma membrane(GO:0005886)
SORBI_3005G192000	Putative receptor kinase	OS11G0620500 PROTEIN (PTHR48007:SF11)	transmembrane signal receptor(PC00197)	protein kinase activity(GO:0004672);ATP binding(GO:0005524)		membrane(GO:0016020)
SORBI_3004G143625	Uncharacterized protein					
SORBI_3002G047100	Uncharacterized protein					
SORBI_3003G221650	Uncharacterized protein					
SORBI_3006G001600	Uncharacterized protein	NB-ARC DOMAIN-CONTAINING PROTEIN (PTHR33463:SF148)				
SORBI_3009G151200	Myb-like domain-containing protein	MYB-LIKE DOMAIN-CONTAINING PROTEIN (PTHR14000:SF17)				
SORBI_3002G039800	Zinc finger PHD-type domain-containing protein	PROTEIN ENHANCED DOWNY MILDEW 2 (PTHR46235:SF18)				nucleus(GO:0005634)
SORBI_3002G219000	Uncharacterized protein	PROTEINASE INHIBITOR I4, SERPIN (DUF716) (PTHR46285:SF3)				membrane(GO:0016020)
SORBI_3004G028600	Protein kinase domain-containing protein	PROTEIN KINASE DOMAIN-CONTAINING PROTEIN (PTHR48055:SF54)	transmembrane signal receptor(PC00197)	nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);ATP binding(GO:0005524)		membrane(GO:0016020)
SORBI_3008G080200	RNI-like superfamily protein	F-BOX DOMAIN-CONTAINING PROTEIN (PTHR47818:SF2)				
SORBI_3002G033300	WPP domain-associated protein	OS07G0147800 PROTEIN (PTHR33883:SF4)				
SORBI_3001G264201	Uncharacterized protein					
SORBI_3001G146450	Uncharacterized protein					
SORBI_3001G341900	Protein LAZ1 homolog 2	PROTEIN LAZ1 HOMOLOG 2 (PTHR23423:SF88)	transporter(PC00227)	transmembrane transporter activity(GO:0022857)	transmembrane transport(GO:0055085)	membrane(GO:0016020)
SORBI_3004G007032	Uncharacterized protein					
SORBI_3002G312100	Glycosyltransferase	GLYCOSYLTRANSFERASE (PTHR48048:SF18)	glycosyltransferase(PC00111)	UDP-glycosyltransferase activity(GO:0008194);glycosyltransferase activity(GO:0016757);UDP-glucosyltransferase activity(GO:0035251)		nucleus(GO:0005634)
SORBI_3004G030800	Pre-rRNA-processing protein RIX1 N-terminal domain-containing protein	PROLINE-, GLUTAMIC ACID- AND LEUCINE-RICH PROTEIN 1 (PTHR34105:SF1)			rRNA processing(GO:0006364)	nucleus(GO:0005634)
SORBI_3005G145000	THH1_TOM1_TOM3 domain-containing protein	TRANSMEMBRANE PROTEIN (PTHR34483:SF5)				
SORBI_3006G220700	Signal recognition particle 14 kDa protein	SIGNAL RECOGNITION PARTICLE 14 KDA PROTEIN (PTHR12013:SF0)	RNA metabolism protein(PC00031)	7S RNA binding(GO:0008312);endoplasmic reticulum signal peptide binding(GO:0030942)	SRP-dependent cotranslational protein targeting to membrane(GO:0006614);SRP-dependent cotranslational protein targeting to membrane, translocation(GO:0006616)	cytoplasm(GO:0005737);signal recognition particle, endoplasmic reticulum targeting(GO:0005786);signal recognition particle(GO:0048500)
SORBI_3002G158000	TF-B3 domain-containing protein	TF-B3 DOMAIN-CONTAINING PROTEIN (PTHR31920:SF151)	DNA-binding transcription factor(PC00218)			nucleus(GO:0005634)
SORBI_3001G318500	Glutathione S-transferase	GLUTATHIONE S-TRANSFERASE (PTHR11260:SF770)	transferase(PC00220)	glutathione transferase activity(GO:0004364)	glutathione metabolic process(GO:0006749)	cytoplasm(GO:0005737);cytosol(GO:0005829)
SORBI_3005G182400	Uncharacterized protein RLK1	INSENSITIVE 1-ASSOCIATED RECEPTOR KINASE 1, PUTATIVE, EXPRESSED-RELATED (PTHR47988:SF21)	transmembrane signal receptor(PC00197)	nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524)	brassinosteroid mediated signaling pathway(GO:0009742)	plasma membrane(GO:0005886)
SORBI_3008G122700	DRBM domain-containing protein	DRBM DOMAIN-CONTAINING PROTEIN (PTHR33913:SF1)				
SORBI_3005G204400	Fe2OG dioxygenase domain-containing protein	ALPHA-KETOGLUTARATE-DEPENDENT DIOXYGENASE ALKB HOMOLOG 7, MITOCHONDRIAL (PTHR21052:SF0)			fatty acid metabolic process(GO:0006631);DNA damage response(GO:0006974)	mitochondrial matrix(GO:0005759)
SORBI_3003G173116	Photosystem II reaction center protein Z	PHOTOSYSTEM II REACTION CENTER PROTEIN Z (PTHR34971:SF2)			photosynthesis(GO:0015979);photosystem II stabilization(GO:0042549)	photosystem II(GO:0009523);chloroplast thylakoid membrane(GO:0009535);plastid(GO:0009536);photosystem II reaction center(GO:0009539)
SORBI_3002G115801	DUF1618 domain-containing protein	OS01G0182100 PROTEIN (PTHR33086:SF62)				
SORBI_3002G393500	Uncharacterized protein	OS07G0641800 PROTEIN (PTHR35312:SF1)				
SORBI_3002G249600	Protein kinase domain-containing protein	OS06G0706600 PROTEIN (PTHR27005:SF479)	transmembrane signal receptor(PC00197)	nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);calcium ion binding(GO:0005509);ATP binding(GO:0005524);polysaccharide binding(GO:0030247)	cell surface receptor signaling pathway(GO:0007166)	plasma membrane(GO:0005886);membrane(GO:0016020)
SORBI_3003G384750	Uncharacterized protein					
SORBI_3004G085900	NB-ARC domain-containing protein	F-BOX DOMAIN-CONTAINING PROTEIN (PTHR19851:SF7)		ADP binding(GO:0043531)		
SORBI_3001G347001	CCHC-type domain-containing protein			nucleic acid binding(GO:0003676);zinc ion binding(GO:0008270)		
SORBI_3010G120400	Glycosyltransferase	GLYCOSYLTRANSFERASE (PTHR48044:SF42)	glycosyltransferase(PC00111)	UDP-glycosyltransferase activity(GO:0008194);UDP-glucosyltransferase activity(GO:0035251)		
SORBI_3009G090632	Uncharacterized protein					
SORBI_3005G050100	Alginate lyase 2 domain-containing protein	ALGINATE LYASE 2 DOMAIN-CONTAINING PROTEIN (PTHR33681:SF15)				
SORBI_3009G040700	Serine_threonine-protein phosphatase	SERINE_THREONINE-PROTEIN PHOSPHATASE BSL1 (PTHR46422:SF6)	protein phosphatase(PC00195)	phosphoprotein phosphatase activity(GO:0004721);protein serine/threonine phosphatase activity(GO:0004722);hydrolase activity(GO:0016787);metal ion binding(GO:0046872)	brassinosteroid mediated signaling pathway(GO:0009742)	nucleus(GO:0005634);plasma membrane(GO:0005886)
SORBI_3009G059500	Sugar phosphate transporter domain-containing protein	OS05G0168700 PROTEIN (PTHR11132:SF490)	secondary carrier transporter(PC00258)			membrane(GO:0016020)
SORBI_3007G132900	H15 domain-containing protein	HMG-Y-RELATED PROTEIN A (PTHR11467:SF162)	chromatin/chromatin-binding, or -regulatory protein(PC00077)	DNA binding(GO:0003677);double-stranded DNA binding(GO:0003690);nucleosomal DNA binding(GO:0031492)	nucleosome assembly(GO:0006334);regulation of DNA-templated transcription(GO:0006355);chromosome condensation(GO:0030261);negative regulation of DNA recombination(GO:0045910)	chromatin(GO:0000785);nucleosome(GO:0000786);nucleus(GO:0005634);nucleolus(GO:0005730)
SORBI_3009G097250	Saposin B-type domain-containing protein					
SORBI_3005G025900	Auxin efflux carrier component	AUXIN EFFLUX CARRIER COMPONENT 1B-RELATED (PTHR31752:SF66)	secondary carrier transporter(PC00258)		auxin-activated signaling pathway(GO:0009734);transmembrane transport(GO:0055085)	membrane(GO:0016020)
SORBI_3005G206500	Sodium_calcium exchanger membrane region domain-containing protein	NA_CA-EXCHANGE PROTEIN, ISOFORM G (PTHR11878:SF65)	secondary carrier transporter(PC00258)	transmembrane transporter activity(GO:0022857)	metal ion transport(GO:0030001);transmembrane transport(GO:0055085)	vacuolar membrane(GO:0005774);endomembrane system(GO:0012505);membrane(GO:0016020)
SORBI_3009G162800	Laccase	LACCASE-12 (PTHR11709:SF383)	oxidase(PC00175)	copper ion binding(GO:0005507);oxidoreductase activity(GO:0016491);hydroquinone:oxygen oxidoreductase activity(GO:0052716)	lignin catabolic process(GO:0046274)	apoplast(GO:0048046)
SORBI_3006G156300	Anaphase-promoting complex subunit 4 WD40 domain-containing protein	WD REPEAT-CONTAINING PROTEIN 44-LIKE (PTHR14221:SF67)				
SORBI_3002G214200	Uncharacterized protein	RESPIRATORY BURST OXIDASE HOMOLOG PROTEIN E (PTHR11972:SF44)	oxidase(PC00175)	peroxidase activity(GO:0004601);calcium ion binding(GO:0005509);oxidoreductase activity(GO:0016491);oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor(GO:0050664)	cellular oxidant detoxification(GO:0098869)	membrane(GO:0016020)
SORBI_3004G248600	Mediator complex subunit 23	MEDIATOR OF RNA POLYMERASE II TRANSCRIPTION SUBUNIT 23 (PTHR12691:SF10)	general transcription factor(PC00259)		regulation of transcription by RNA polymerase II(GO:0006357);positive regulation of gene expression(GO:0010628)	nucleus(GO:0005634);transcription regulator complex(GO:0005667)
SORBI_3008G035501	RING-type domain-containing protein					
SORBI_3002G357100	SUMO-activating enzyme subunit	SUMO-ACTIVATING ENZYME SUBUNIT 2 (PTHR10953:SF5)	ubiquitin-protein ligase(PC00234)	ATP binding(GO:0005524);ubiquitin-like modifier activating enzyme activity(GO:0008641);SUMO activating enzyme activity(GO:0019948)	protein sumoylation(GO:0016925)	nucleus(GO:0005634);SUMO activating enzyme complex(GO:0031510)
SORBI_3003G014600	L-ascorbate oxidase	L-ASCORBATE OXIDASE (PTHR11709:SF91)	oxidase(PC00175)	copper ion binding(GO:0005507);L-ascorbate oxidase activity(GO:0008447);oxidoreductase activity(GO:0016491)		extracellular region(GO:0005576)
SORBI_3008G028200	Expansin-like CBD domain-containing protein	OS04G0328900 PROTEIN (PTHR31692:SF13)				extracellular region(GO:0005576)
SORBI_3003G060300	Endoplasmic reticulum oxidoreductin-1	ERO1-LIKE PROTEIN (PTHR12613:SF0)	oxidoreductase(PC00176)	protein-disulfide reductase activity(GO:0015035);thiol oxidase activity(GO:0016972);FAD binding(GO:0071949)	protein folding in endoplasmic reticulum(GO:0034975)	endoplasmic reticulum(GO:0005783);endoplasmic reticulum membrane(GO:0005789)
SORBI_3001G283100	Plastidal glycolate_glycerate translocator 1, chloroplastic	PLASTIDAL GLYCOLATE_GLYCERATE TRANSLOCATOR 1 CHLOROPLASTIC (PTHR30249:SF12)	transporter(PC00227)			membrane(GO:0016020)
SORBI_3002G336400	FBD domain-containing protein	OS12G0595200 PROTEIN (PTHR32141:SF168)				
SORBI_3007G225800	SAM-dependent MTase RsmB_NOP-type domain-containing protein	OS08G0484400 PROTEIN (PTHR22808:SF14)	RNA methyltransferase(PC00033)	RNA binding(GO:0003723);methyltransferase activity(GO:0008168);RNA methyltransferase activity(GO:0008173);tRNA (cytidine-N5)-methyltransferase activity(GO:0016428)	RNA methylation(GO:0001510);tRNA methylation(GO:0030488)	nucleus(GO:0005634)
SORBI_3005G069500	Protein kinase domain-containing protein	PROTEIN KINASE DOMAIN-CONTAINING PROTEIN (PTHR27005:SF286)	transmembrane signal receptor(PC00197)	nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);calcium ion binding(GO:0005509);ATP binding(GO:0005524);polysaccharide binding(GO:0030247)	cell surface receptor signaling pathway(GO:0007166)	plasma membrane(GO:0005886);membrane(GO:0016020)
SORBI_3001G117701	Uncharacterized protein					
SORBI_3002G014500	Proline-rich protein					
SORBI_3001G192700	Molybdate-anion transporter	MOLYBDATE-ANION TRANSPORTER (PTHR23516:SF25)	transporter(PC00227)	molybdate ion transmembrane transporter activity(GO:0015098)	molybdate ion transport(GO:0015689)	membrane(GO:0016020)
SORBI_3004G233200	AP2_ERF domain-containing protein	OS02G0752800 PROTEIN (PTHR31657:SF73)	DNA-binding transcription factor(PC00218)	DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700)	regulation of DNA-templated transcription(GO:0006355)	nucleus(GO:0005634)
SORBI_3007G101300	Cardiolipin synthase N-terminal domain-containing protein	TRANSMEMBRANE PROTEIN (PTHR36009:SF3)				
SORBI_3005G130700	DUF4220 domain-containing protein (Fragment)	DUF4220 DOMAIN-CONTAINING PROTEIN (PTHR31325:SF124)				
SORBI_3007G201300	Uncharacterized protein					
SORBI_3009G061601	Uncharacterized protein					
SORBI_3005G135300	Uncharacterized protein	OS11G0529900 PROTEIN (PTHR11877:SF47)	transferase(PC00220)	acyltransferase activity(GO:0016746);acyltransferase activity, transferring groups other than amino-acyl groups(GO:0016747);tetraketide alpha-pyrone synthase activity(GO:0090439)	pollen wall assembly(GO:0010208);polyketide biosynthetic process(GO:0030639)	
SORBI_3002G160901	Uncharacterized protein					
SORBI_3001G169600	LisH domain-containing protein	LISH DOMAIN-CONTAINING PROTEIN (PTHR22846:SF55)		transcription corepressor activity(GO:0003714)	regulation of transcription by RNA polymerase II(GO:0006357);negative regulation of DNA-templated transcription(GO:0045892)	histone deacetylase complex(GO:0000118);nucleus(GO:0005634)
SORBI_3005G228501	PGG domain-containing protein	OS06G0293500 PROTEIN (PTHR24177:SF223)	scaffold/adaptor protein(PC00226)			
SORBI_3007G010900	AB hydrolase-1 domain-containing protein	METHYLESTERASE 14, CHLOROPLASTIC-RELATED (PTHR10992:SF785)	esterase(PC00097)	carboxylic ester hydrolase activity(GO:0052689)		
SORBI_3010G275300	DUF4378 domain-containing protein	OS06G0728200 PROTEIN (PTHR40836:SF2)				
SORBI_3001G315700	Mitogen-activated protein kinase	MITOGEN-ACTIVATED PROTEIN KINASE 11-RELATED (PTHR24055:SF439)	non-receptor serine/threonine protein kinase(PC00167)	nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);MAP kinase activity(GO:0004707);ATP binding(GO:0005524)	MAPK cascade(GO:0000165);intracellular signal transduction(GO:0035556)	
SORBI_3002G036300	DUF1365 domain-containing protein	OS07G0153300 PROTEIN (PTHR33973:SF4)				
SORBI_3001G058900	40S ribosomal protein S18	SMALL RIBOSOMAL SUBUNIT PROTEIN US13 (PTHR10871:SF3)	ribosomal protein(PC00202)	nucleic acid binding(GO:0003676);RNA binding(GO:0003723);structural constituent of ribosome(GO:0003735)	translation(GO:0006412)	cytoplasm(GO:0005737);cytosol(GO:0005829);ribosome(GO:0005840);small ribosomal subunit(GO:0015935)
SORBI_3003G121200	Pentacotripeptide-repeat region of PRORP domain-containing protein	OS01G0263400 PROTEIN (PTHR47932:SF48)				
SORBI_3003G417900	Cullin N-terminal domain-containing protein			ubiquitin protein ligase binding(GO:0031625)	ubiquitin-dependent protein catabolic process(GO:0006511)	
SORBI_3006G141600	Isocitrate dehydrogenase [NADP]	ISOCITRATE DEHYDROGENASE [NADP], CHLOROPLASTIC_MITOCHONDRIAL (PTHR11822:SF5)	dehydrogenase(PC00092)	magnesium ion binding(GO:0000287);isocitrate dehydrogenase (NADP+) activity(GO:0004450);oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor(GO:0016616);NAD binding(GO:0051287)	tricarboxylic acid cycle(GO:0006099);isocitrate metabolic process(GO:0006102)	mitochondrion(GO:0005739)
SORBI_3008G053101	Secreted protein					
SORBI_3010G218700	FBD domain-containing protein					
SORBI_3003G410200	E2 ubiquitin-conjugating enzyme	E2 UBIQUITIN-CONJUGATING ENZYME (PTHR24068:SF147)	ubiquitin-protein ligase(PC00234)	ubiquitin-protein transferase activity(GO:0004842);ATP binding(GO:0005524);ubiquitin conjugating enzyme activity(GO:0061631)	protein polyubiquitination(GO:0000209);ubiquitin-dependent protein catabolic process(GO:0006511)	
SORBI_3005G195800	RRM domain-containing protein	SPLICING FACTOR U2AF LARGE SUBUNIT A (PTHR23139:SF132)		nucleic acid binding(GO:0003676);RNA binding(GO:0003723);poly-pyrimidine tract binding(GO:0008187);pre-mRNA 3'-splice site binding(GO:0030628)	spliceosomal complex assembly(GO:0000245);mRNA processing(GO:0006397)	commitment complex(GO:0000243);nucleus(GO:0005634);U2-type prespliceosome(GO:0071004);U2AF complex(GO:0089701)
SORBI_3007G074300	Protein DETOXIFICATION			antiporter activity(GO:0015297);xenobiotic transmembrane transporter activity(GO:0042910)	transmembrane transport(GO:0055085);xenobiotic detoxification by transmembrane export across the plasma membrane(GO:1990961)	membrane(GO:0016020)
SORBI_3003G054800	DUF295 domain-containing protein	OS05G0143700 PROTEIN (PTHR33127:SF45)				
SORBI_3010G263001	Uncharacterized protein					
SORBI_3010G122300	Uncharacterized protein					
SORBI_3003G331300	RNA methyltransferase	7SK SNRNA METHYLPHOSPHATE CAPPING ENZYME (PTHR12315:SF0)		methyltransferase activity(GO:0008168);O-methyltransferase activity(GO:0008171);RNA methyltransferase activity(GO:0008173);snRNA binding(GO:0017069)	snRNA modification(GO:0040031)	
SORBI_3001G485800	CN hydrolase domain-containing protein	OMEGA-AMIDASE NIT2 (PTHR23088:SF30)	hydrolase(PC00121)	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds(GO:0016810);hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides(GO:0016811);omega-amidase activity(GO:0050152)	oxaloacetate metabolic process(GO:0006107);malate metabolic process(GO:0006108);asparagine metabolic process(GO:0006528);L-glutamine metabolic process(GO:0006541)	
SORBI_3003G040600	Inositol polyphosphate-related phosphatase domain-containing protein	INOSITOL POLYPHOSPHATE 5-PHOSPHATASE (PTHR45666:SF14)	phosphatase(PC00181)	inositol-polyphosphate 5-phosphatase activity(GO:0004445);phosphatase activity(GO:0016791)	phosphatidylinositol dephosphorylation(GO:0046856)	
SORBI_3001G218800	DUF4220 domain-containing protein	TRANSMEMBRANE PROTEIN (PTHR36353:SF1)				
SORBI_3004G057300	Uncharacterized protein	OS01G0890400 PROTEIN (PTHR34303:SF6)				
SORBI_3009G209650	Uncharacterized protein					
SORBI_3001G125500	Uncharacterized protein	NATURAL RESISTANCE-ASSOCIATED MACROPHAGE PROTEIN, EXPRESSED (PTHR11706:SF93)	secondary carrier transporter(PC00258)	metal ion transmembrane transporter activity(GO:0046873)	intracellular iron ion homeostasis(GO:0006879);ethylene-activated signaling pathway(GO:0009873);metal ion transport(GO:0030001);intracellular manganese ion homeostasis(GO:0030026)	membrane(GO:0016020)
SORBI_3002G383700	4-alpha-glucanotransferase	4-ALPHA-GLUCANOTRANSFERASE DPE1, CHLOROPLASTIC_AMYLOPLASTIC (PTHR32438:SF5)	transferase(PC00220)	4-alpha-glucanotransferase activity(GO:0004134);glycosyltransferase activity(GO:0016757)	maltose catabolic process(GO:0000025);carbohydrate metabolic process(GO:0005975);starch catabolic process(GO:0005983)	amyloplast(GO:0009501)
SORBI_3003G253200	Dof-type domain-containing protein	OS01G0673700 PROTEIN (PTHR31089:SF72)		DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700)	regulation of DNA-templated transcription(GO:0006355)	nucleus(GO:0005634)
SORBI_3003G059250	Uncharacterized protein					
SORBI_3005G216800	RRM domain-containing protein	SPLICING FACTOR U2AF LARGE SUBUNIT A (PTHR23139:SF132)		nucleic acid binding(GO:0003676);RNA binding(GO:0003723);poly-pyrimidine tract binding(GO:0008187);pre-mRNA 3'-splice site binding(GO:0030628)	spliceosomal complex assembly(GO:0000245);mRNA processing(GO:0006397)	commitment complex(GO:0000243);nucleus(GO:0005634);U2-type prespliceosome(GO:0071004);U2AF complex(GO:0089701)
SORBI_3001G495200	Glutathione reductase	GLUTATHIONE REDUCTASE, CHLOROPLASTIC (PTHR48105:SF24)	reductase(PC00198)	glutathione-disulfide reductase (NADPH) activity(GO:0004362);oxidoreductase activity(GO:0016491);oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor(GO:0016668);flavin adenine dinucleotide binding(GO:0050660);NADP binding(GO:0050661)	glutathione metabolic process(GO:0006749);cell redox homeostasis(GO:0045454);cellular oxidant detoxification(GO:0098869)	
SORBI_3002G360701	protein-serine_threonine phosphatase	PROTEIN PHOSPHATASE 2C 37 (PTHR47992:SF93)	protein phosphatase(PC00195)	protein serine/threonine phosphatase activity(GO:0004722);cation binding(GO:0043169)	regulation of intracellular signal transduction(GO:1902531)	
SORBI_3006G098900	Uncharacterized protein					
SORBI_3005G011700	SGNH hydrolase-type esterase domain-containing protein	SGNH HYDROLASE-TYPE ESTERASE DOMAIN-CONTAINING PROTEIN (PTHR46020:SF15)		hydrolase activity, acting on ester bonds(GO:0016788)		
SORBI_3005G072800	Uncharacterized protein	OS03G0282700 PROTEIN (PTHR18934:SF126)	RNA helicase(PC00032)	helicase activity(GO:0004386)		catalytic step 2 spliceosome(GO:0071013)
SORBI_3001G295400	Protein kinase domain-containing protein	CELL DIVISION CYCLE 7-RELATED PROTEIN KINASE (PTHR11909:SF7)	non-receptor serine/threonine protein kinase(PC00167)	protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524)	double-strand break repair via break-induced replication(GO:0000727)	
SORBI_3004G106250	Uncharacterized protein					
SORBI_3004G306200	peptidylprolyl isomerase	FK506-BINDING PROTEIN 59-RELATED (PTHR10516:SF443)	chaperone(PC00072)	peptidyl-prolyl cis-trans isomerase activity(GO:0003755);isomerase activity(GO:0016853)	protein folding(GO:0006457)	cytoplasm(GO:0005737)
SORBI_3009G244100	Uncharacterized protein					
SORBI_3002G280600	Mediator of RNA polymerase II transcription subunit 4	MEDIATOR OF RNA POLYMERASE II TRANSCRIPTION SUBUNIT 4 (PTHR13208:SF2)	general transcription factor(PC00259)	transcription coregulator activity(GO:0003712)	regulation of transcription by RNA polymerase II(GO:0006357)	nucleus(GO:0005634);mediator complex(GO:0016592);core mediator complex(GO:0070847)
SORBI_3004G303200	Cytochrome b561 domain-containing protein	TRANSMEMBRANE ASCORBATE FERRIREDUCTASE 1 (PTHR10106:SF22)	reductase(PC00198)	oxidoreductase activity(GO:0016491)		membrane(GO:0016020)
SORBI_3008G174400	F-box domain-containing protein (Fragment)	F-BOX DOMAIN-CONTAINING PROTEIN (PTHR47993:SF109)				
SORBI_3005G162300	Obtusifoliol 14-alpha demethylase	OS05G0416400 PROTEIN (PTHR24286:SF40)	oxygenase(PC00177)	monooxygenase activity(GO:0004497);iron ion binding(GO:0005506);sterol 14-demethylase activity(GO:0008398);oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen(GO:0016705);heme binding(GO:0020037)		membrane(GO:0016020)
SORBI_3001G517400	DUF295 domain-containing protein	DUF295 DOMAIN-CONTAINING PROTEIN (PTHR33127:SF32)				
SORBI_3010G266100	Endoglucanase	ENDOGLUCANASE 18 (PTHR22298:SF121)		hydrolase activity, hydrolyzing O-glycosyl compounds(GO:0004553);cellulase activity(GO:0008810)	carbohydrate metabolic process(GO:0005975)	
SORBI_3002G036500	C2H2-type domain-containing protein	PROTEIN LATE FLOWERING (PTHR45730:SF108)		DNA-binding transcription factor activity(GO:0003700)	regulation of DNA-templated transcription(GO:0006355)	
SORBI_3005G229000	RRM domain-containing protein	RRM DOMAIN-CONTAINING PROTEIN (PTHR23147:SF213)	RNA splicing factor(PC00148)	nucleic acid binding(GO:0003676);RNA binding(GO:0003723)	regulation of alternative mRNA splicing, via spliceosome(GO:0000381)	
SORBI_3008G056700	Uncharacterized protein					
SORBI_3005G086200	PHD finger protein ALFIN-LIKE	PHD FINGER PROTEIN ALFIN-LIKE 8 (PTHR12321:SF180)	DNA metabolism protein(PC00009)	histone binding(GO:0042393);metal ion binding(GO:0046872)	chromatin organization(GO:0006325);regulation of DNA-templated transcription(GO:0006355)	nucleus(GO:0005634)
SORBI_3006G035700	Response regulatory domain-containing protein	TWO-COMPONENT RESPONSE REGULATOR ORR28 (PTHR43874:SF92)	winged helix/forkhead transcription factor(PC00246)	DNA binding(GO:0003677)	phosphorelay signal transduction system(GO:0000160);cytokinin-activated signaling pathway(GO:0009736)	
SORBI_3001G372200	NADH:quinone oxidoreductase_Mrp antiporter membrane subunit domain-containing protein					
SORBI_3006G002300	DUF4220 domain-containing protein	EXPRESSED PROTEIN (PTHR31325:SF2)				
