GeneID	GeneName	Family_Subfamily	Protein_Class	GO_MF	GO_BP	GO_CC
SORBI_3002G245200	Expansin-like EG45 domain-containing protein	EG45-LIKE DOMAIN CONTAINING PROTEIN 1-RELATED (PTHR47295:SF2)			systemic acquired resistance(GO:0009627)	extracellular region(GO:0005576);apoplast(GO:0048046)
SORBI_3004G004300	Protein transport protein sec16	"SECRETORY 16, ISOFORM I (PTHR13402:SF6)"		protein-membrane adaptor activity(GO:0043495)	endoplasmic reticulum to Golgi vesicle-mediated transport(GO:0006888);endoplasmic reticulum organization(GO:0007029);protein localization to endoplasmic reticulum exit site(GO:0070973)	Golgi membrane(GO:0000139);endoplasmic reticulum(GO:0005783);ER to Golgi transport vesicle membrane(GO:0012507);endoplasmic reticulum exit site(GO:0070971)
SORBI_3006G120000	NPH3 domain-containing protein	OS04G0477000 PROTEIN (PTHR32370:SF12)			protein ubiquitination(GO:0016567)	
SORBI_3003G184666	F-box domain-containing protein	F-BOX DOMAIN-CONTAINING PROTEIN (PTHR34223:SF107)				
SORBI_3003G324600	Transcription factor MYC_MYB N-terminal domain-containing protein	GB|AAF34833.1 (PTHR47375:SF1)				
SORBI_3001G052800	FHA domain-containing protein	MICROSPHERULE PROTEIN 1 (PTHR13233:SF0)		G-quadruplex RNA binding(GO:0002151)	positive regulation of transcription by RNA polymerase II(GO:0045944)	Ino80 complex(GO:0031011);NSL complex(GO:0044545);MLL1 complex(GO:0071339)
SORBI_3006G048400	Uncharacterized protein	OS04G0380200 PROTEIN (PTHR34280:SF7)				
SORBI_3006G184700	AP2_ERF domain-containing protein	ETHYLENE-RESPONSIVE TRANSCRIPTION FACTOR ERF027 (PTHR31985:SF302)	DNA-binding transcription factor(PC00218)	DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700)	regulation of DNA-templated transcription(GO:0006355)	nucleus(GO:0005634)
SORBI_3001G028400	Transmembrane protein 184A	IP17403P (PTHR23423:SF17)	transporter(PC00227)	transmembrane transporter activity(GO:0022857)	transmembrane transport(GO:0055085)	membrane(GO:0016020)
SORBI_3002G220200	formate--tetrahydrofolate ligase			formate-tetrahydrofolate ligase activity(GO:0004329);methenyltetrahydrofolate cyclohydrolase activity(GO:0004477);methylenetetrahydrofolate dehydrogenase (NADP+) activity(GO:0004488);ATP binding(GO:0005524)	purine nucleotide biosynthetic process(GO:0006164);L-methionine metabolic process(GO:0006555);10-formyltetrahydrofolate biosynthetic process(GO:0009257);tetrahydrofolate interconversion(GO:0035999);folic acid metabolic process(GO:0046655)	cytosol(GO:0005829)
SORBI_3005G110800	Wound-induced basic protein	OS12G0405700 PROTEIN (PTHR36752:SF2)				
SORBI_3005G099150	CASP-like protein					
SORBI_3002G041800	Alpha_beta hydrolase fold-3 domain-containing protein	ALPHA_BETA HYDROLASE FOLD-3 DOMAIN-CONTAINING PROTEIN (PTHR23024:SF657)	deacetylase(PC00087)	hydrolase activity(GO:0016787)		
SORBI_3010G140750	CCHC-type domain-containing protein	OS11G0296500 PROTEIN (PTHR23002:SF89)	RNA metabolism protein(PC00031)	nucleic acid binding(GO:0003676);single-stranded RNA binding(GO:0003727);mRNA binding(GO:0003729);zinc ion binding(GO:0008270);translation regulator activity(GO:0045182)	positive regulation of cytoplasmic translation(GO:2000767)	cytoplasm(GO:0005737)
SORBI_3010G140300	Uncharacterized protein					
SORBI_3001G210900	Uncharacterized protein	RIPENING-RELATED PROTEIN 6-RELATED (PTHR33191:SF80)				extracellular region(GO:0005576)
SORBI_3001G356100	Transferase transferring acyl groups	PHOSPHATIDYLINOSITOL-GLYCAN BIOSYNTHESIS CLASS W PROTEIN (PTHR20661:SF0)	acyltransferase(PC00042)	acyltransferase activity(GO:0016746);glucosaminyl-phosphatidylinositol O-acyltransferase activity(GO:0032216)	GPI anchor metabolic process(GO:0006505);GPI anchor biosynthetic process(GO:0006506)	endoplasmic reticulum(GO:0005783);membrane(GO:0016020)
SORBI_3006G140700	NADP-dependent oxidoreductase domain-containing protein	OS07G0142900 PROTEIN (PTHR43625:SF16)	reductase(PC00198)	oxidoreductase activity(GO:0016491)		cytoplasm(GO:0005737)
SORBI_3002G161700	MYB-CC type transcription factor LHEQLE-containing domain-containing protein	PROTEIN PHOSPHATE STARVATION RESPONSE 1-LIKE ISOFORM X1 (PTHR31499:SF49)	homeodomain transcription factor(PC00119)	DNA-binding transcription factor activity(GO:0003700)	regulation of DNA-templated transcription(GO:0006355)	
SORBI_3003G268100	Uncharacterized protein					
SORBI_3008G166250	Uncharacterized protein					
SORBI_3007G038900	Uncharacterized protein					
SORBI_3006G035200	Uncharacterized protein					
SORBI_3001G269300	FBD domain-containing protein	F-BOX DOMAIN-CONTAINING PROTEIN (PTHR32141:SF179)				
SORBI_3003G394801	Uncharacterized protein					
SORBI_3005G218600	NB-ARC domain-containing protein	OS06G0163900 PROTEIN (PTHR19338:SF65)		ADP binding(GO:0043531)		
SORBI_3010G169500	GTD-binding domain-containing protein					
SORBI_3004G310100	Fe2OG dioxygenase domain-containing protein	OS02G0767300 PROTEIN (PTHR47990:SF36)	oxygenase(PC00177)	leucocyanidin oxygenase activity(GO:0050589)	flavonoid biosynthetic process(GO:0009813);pigment biosynthetic process(GO:0046148)	
SORBI_3001G016400	60S ribosomal protein L17	60S RIBOSOMAL PROTEIN L17 (PTHR11593:SF46)	ribosomal protein(PC00202)	structural constituent of ribosome(GO:0003735)	cytoplasmic translation(GO:0002181);translation(GO:0006412)	ribosome(GO:0005840);large ribosomal subunit(GO:0015934);cytosolic large ribosomal subunit(GO:0022625)
SORBI_3003G358150	Uncharacterized protein					
SORBI_3001G354800	Uncharacterized protein	TRANSMEMBRANE PROTEIN (PTHR35463:SF10)				
SORBI_3009G150800	Glycosyltransferase					
SORBI_3010G143800	PHD-type domain-containing protein	OS06G0468400 PROTEIN (PTHR38530:SF1)				
SORBI_3010G151000	CMP-sialic acid transporter 1	UDP-SUGAR TRANSPORTER PROTEIN SLC35A4-RELATED (PTHR10231:SF43)	transporter(PC00227)	pyrimidine nucleotide-sugar transmembrane transporter activity(GO:0015165)	pyrimidine nucleotide-sugar transmembrane transport(GO:0090481)	Golgi membrane(GO:0000139);membrane(GO:0016020)
SORBI_3009G083200	NFACT RNA-binding domain-containing protein	COILED-COIL DOMAIN-CONTAINING PROTEIN 25 (PTHR13049:SF2)				
SORBI_3002G227200	J domain-containing protein	DNAJ HEAT SHOCK N-TERMINAL DOMAIN-CONTAINING PROTEIN (PTHR21454:SF47)		metal ion binding(GO:0046872)	protein histidyl modification to diphthamide(GO:0017183)	nucleus(GO:0005634);cytoplasm(GO:0005737);endoplasmic reticulum(GO:0005783);cytosol(GO:0005829)
SORBI_3004G181600	Uncharacterized protein	OS02G0562300 PROTEIN (PTHR31713:SF96)		calmodulin binding(GO:0005516)		nucleus(GO:0005634)
SORBI_3006G039900	Uncharacterized protein					
SORBI_3001G403700	Mitochondrial carrier protein	MITOCHONDRIAL SUBSTRATE CARRIER FAMILY PROTEIN (PTHR45758:SF11)		iron ion transmembrane transporter activity(GO:0005381);ferrous iron transmembrane transporter activity(GO:0015093)	iron ion transmembrane transport(GO:0034755);transmembrane transport(GO:0055085)	membrane(GO:0016020);mitochondrial membrane(GO:0031966)
SORBI_3010G052600	AP2_ERF domain-containing protein	ETHYLENE-RESPONSIVE TRANSCRIPTION FACTOR RAP2-1-RELATED (PTHR31729:SF2)	DNA-binding transcription factor(PC00218)	DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700)	regulation of DNA-templated transcription(GO:0006355)	nucleus(GO:0005634)
SORBI_3006G247200	AMP-dependent synthetase_ligase domain-containing protein			"ligase activity, forming carbon-sulfur bonds(GO:0016877)"		
SORBI_3001G191100	F-box domain-containing protein	F-BOX DOMAIN-CONTAINING PROTEIN (PTHR10706:SF154)	ubiquitin-protein ligase(PC00234)			
SORBI_3001G179740	Terpene cyclase_mutase family member	TERPENE CYCLASE_MUTASE FAMILY MEMBER (PTHR11764:SF38)	cyclase(PC00079)	intramolecular transferase activity(GO:0016866)	triterpenoid biosynthetic process(GO:0016104)	lipid droplet(GO:0005811)
SORBI_3002G039600	FHA domain-containing protein	CST COMPLEX SUBUNIT TEN1 (PTHR33905:SF1)		single-stranded DNA binding(GO:0003697);telomeric repeat DNA binding(GO:0042162)	negative regulation of telomere maintenance via telomerase(GO:0032211)	CST complex(GO:1990879)
SORBI_3002G108200	F-box domain-containing protein	OS12G0558366 PROTEIN (PTHR32141:SF34)				
SORBI_3008G004800	Ferritin	"FERRITIN-1, CHLOROPLASTIC (PTHR11431:SF125)"	storage protein(PC00210)	ferroxidase activity(GO:0004322);ferrous iron binding(GO:0008198);ferric iron binding(GO:0008199)	iron ion transport(GO:0006826);intracellular iron ion homeostasis(GO:0006879);response to oxidative stress(GO:0006979)	chloroplast(GO:0009507)
SORBI_3001G396050	Uncharacterized protein					
SORBI_3001G188900	DUF952 domain-containing protein	DUF952 DOMAIN-CONTAINING PROTEIN (PTHR34129:SF1)				
SORBI_3004G040600	Pyridoxamine 5'-phosphate oxidase putative domain-containing protein	OS02G0148400 PROTEIN (PTHR13343:SF36)				cytoplasm(GO:0005737)
SORBI_3010G162900	FAD-binding PCMH-type domain-containing protein	FAD-BINDING BERBERINE FAMILY PROTEIN-RELATED (PTHR32448:SF152)		oxidoreductase activity(GO:0016491);flavin adenine dinucleotide binding(GO:0050660);FAD binding(GO:0071949)		
SORBI_3002G117800	Uncharacterized protein					
SORBI_3001G538500	RING-type domain-containing protein	REPLICATION PROTEIN A2 (PTHR13989:SF16)		single-stranded DNA binding(GO:0003697);telomeric repeat DNA binding(GO:0042162)	DNA replication(GO:0006260);nucleotide-excision repair(GO:0006289)	"chromosome, telomeric region(GO:0000781);nucleus(GO:0005634);DNA replication factor A complex(GO:0005662);site of double-strand break(GO:0035861)"
SORBI_3010G057100	40S ribosomal protein S30	40S RIBOSOMAL PROTEIN S30 (PTHR12650:SF36)	ribosomal protein(PC00202)	structural constituent of ribosome(GO:0003735)	translation(GO:0006412)	ribosome(GO:0005840);cytosolic small ribosomal subunit(GO:0022627)
SORBI_3002G424100	Peptidylprolyl isomerase	"RHODANESE-LIKE_PPIC DOMAIN-CONTAINING PROTEIN 12, CHLOROPLASTIC (PTHR43629:SF2)"	chaperone(PC00072)	peptidyl-prolyl cis-trans isomerase activity(GO:0003755);isomerase activity(GO:0016853)		
SORBI_3007G046200	Paf1 complex protein	RNA POLYMERASE II-ASSOCIATED FACTOR 1 HOMOLOG (PTHR23188:SF12)		RNA polymerase II complex binding(GO:0000993);chromatin binding(GO:0003682)	double-strand break repair via homologous recombination(GO:0000724);transcription elongation by RNA polymerase II(GO:0006368)	nucleus(GO:0005634);Cdc73/Paf1 complex(GO:0016593)
SORBI_3005G183450	Uncharacterized protein					
SORBI_3001G019300	Dipeptidylpeptidase IV N-terminal domain-containing protein	DPP6 N-TERMINAL DOMAIN-LIKE PROTEIN (PTHR32161:SF8)				
SORBI_3002G190100	Uncharacterized protein	EXPRESSED PROTEIN (PTHR37231:SF2)				
SORBI_3008G022300	Protein kinase domain-containing protein	OS07G0494300 PROTEIN (PTHR27005:SF363)	transmembrane signal receptor(PC00197)	nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);ATP binding(GO:0005524)	cell surface receptor signaling pathway(GO:0007166)	
SORBI_3006G243400	D-3-phosphoglycerate dehydrogenase	"D-3-PHOSPHOGLYCERATE DEHYDROGENASE 3, CHLOROPLASTIC (PTHR42938:SF5)"	dehydrogenase(PC00092)	"phosphoglycerate dehydrogenase activity(GO:0004617);oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor(GO:0016616);NAD binding(GO:0051287)"	L-serine biosynthetic process(GO:0006564)	chloroplast(GO:0009507);plastid(GO:0009536)
SORBI_3007G090418	Uncharacterized protein					
SORBI_3010G170400	Cytochrome P450 711A1	CYTOCHROME P450 FAMILY CYP711A MEMBER (PTHR24301:SF16)	isomerase(PC00135)	"monooxygenase activity(GO:0004497);iron ion binding(GO:0005506);oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen(GO:0016705);heme binding(GO:0020037)"		
SORBI_3003G166001	Uncharacterized protein					
SORBI_3001G306500	Uncharacterized protein	EXPANSIN-B9 (PTHR31692:SF7)				extracellular region(GO:0005576)
SORBI_3010G224100	Protein JASON	OS06G0670100 PROTEIN (PTHR33318:SF5)	RNA processing factor(PC00147)		male meiosis II(GO:0007142)	
SORBI_3003G372800	DUF668 domain-containing protein	PROTEIN PSK SIMULATOR 1 (PTHR31730:SF32)			positive regulation of growth(GO:0045927)	
SORBI_3007G110333	Uncharacterized protein					
SORBI_3010G151801	Ovule protein					
SORBI_3001G338800	DEK-C domain-containing protein	OS03G0412900 PROTEIN (PTHR13468:SF7)	"chromatin/chromatin-binding, or -regulatory protein(PC00077)"	DNA binding(GO:0003677)	chromatin organization(GO:0006325);regulation of double-strand break repair(GO:2000779)	nucleus(GO:0005634)
SORBI_3009G057300	Uncharacterized protein	ACYL-COA DEHYDROGENASE (PTHR43188:SF1)	oxidase(PC00175)	"acyl-CoA dehydrogenase activity(GO:0003995);oxidoreductase activity, acting on the CH-CH group of donors(GO:0016627);flavin adenine dinucleotide binding(GO:0050660)"	fatty acid beta-oxidation(GO:0006635)	
SORBI_3006G277100	WAT1-related protein	WAT1-RELATED PROTEIN (PTHR31218:SF412)		transmembrane transporter activity(GO:0022857)	transmembrane transport(GO:0055085)	membrane(GO:0016020)
SORBI_3002G209000	Glutamate receptor	GLUTAMATE RECEPTOR (PTHR18966:SF461)	transmembrane signal receptor(PC00197)	ligand-gated monoatomic ion channel activity(GO:0015276)	monoatomic ion transmembrane transport(GO:0034220)	membrane(GO:0016020)
SORBI_3004G052100	Uncharacterized protein					
SORBI_3002G011800	NB-ARC domain-containing protein	NB-ARC DOMAIN-CONTAINING PROTEIN (PTHR33377:SF92)		ADP binding(GO:0043531)		
SORBI_3010G053900	RING-type domain-containing protein	OS06G0167200 PROTEIN (PTHR45768:SF19)	ubiquitin-protein ligase(PC00234)	ubiquitin protein ligase activity(GO:0061630)		membrane(GO:0016020)
SORBI_3006G210000	Uncharacterized protein	OS04G0610000 PROTEIN (PTHR33144:SF46)				
SORBI_3001G213666	Ubiquitin-like protease family profile domain-containing protein					
SORBI_3005G211500	Fibronectin type III-like domain-containing protein	BETA-D-XYLOSIDASE 2-RELATED (PTHR42721:SF45)	glucosidase(PC00108)	"hydrolase activity, hydrolyzing O-glycosyl compounds(GO:0004553);xylan 1,4-beta-xylosidase activity(GO:0009044)"	carbohydrate metabolic process(GO:0005975);xylan catabolic process(GO:0045493)	extracellular region(GO:0005576)
SORBI_3007G171400	acid phosphatase	ACID PHOSPHATASE (PTHR47439:SF1)	protein phosphatase(PC00195)	acid phosphatase activity(GO:0003993);protein tyrosine phosphatase activity(GO:0004725);phosphatase activity(GO:0016791)		
SORBI_3004G028800	RING-type domain-containing protein	S-RIBONUCLEASE BINDING PROTEIN SBP1-RELATED (PTHR42647:SF9)				
SORBI_3004G049600	Formin-like protein	FORMIN-LIKE PROTEIN 10 (PTHR23213:SF235)		actin binding(GO:0003779);actin filament binding(GO:0051015)	actin cytoskeleton organization(GO:0030036);actin nucleation(GO:0045010)	cytoskeleton(GO:0005856);membrane(GO:0016020)
SORBI_3003G122400	Uncharacterized protein	REQUIRED FOR EXCISION 1-B DOMAIN-CONTAINING PROTEIN (PTHR28309:SF1)				
SORBI_3007G153200	Uncharacterized protein					
SORBI_3001G228300	SAP domain-containing protein	PLASTID TRANSCRIPTIONALLY ACTIVE 3 (PTHR31407:SF5)				
SORBI_3005G086650	Uncharacterized protein					
SORBI_3001G032200	Major facilitator superfamily (MFS) profile domain-containing protein	"D-XYLOSE-PROTON SYMPORTER-LIKE 3, CHLOROPLASTIC (PTHR48023:SF6)"	primary active transporter(PC00068)	transmembrane transporter activity(GO:0022857);D-glucose transmembrane transporter activity(GO:0055056)	transmembrane transport(GO:0055085);D-glucose transmembrane transport(GO:1904659)	cytoplasm(GO:0005737);membrane(GO:0016020)
SORBI_3001G106000	Uncharacterized protein	HOMEOBOX PROTEIN KNOTTED-1-LIKE 7 (PTHR11850:SF87)	homeodomain transcription factor(PC00119)	"RNA polymerase II cis-regulatory region sequence-specific DNA binding(GO:0000978);DNA-binding transcription factor activity, RNA polymerase II-specific(GO:0000981);nucleic acid binding(GO:0003676);DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700)"	regulation of DNA-templated transcription(GO:0006355);regulation of transcription by RNA polymerase II(GO:0006357)	nucleus(GO:0005634)
SORBI_3004G140501	BED-type domain-containing protein	BOUNDARY ELEMENT ASSOCIATED FACTOR (PTHR34396:SF25)		DNA binding(GO:0003677)	regulation of transcription by RNA polymerase II(GO:0006357)	nucleus(GO:0005634)
SORBI_3007G109800	SMP domain-containing protein	SMP DOMAIN-CONTAINING PROTEIN (PTHR31174:SF25)				
SORBI_3001G262700	HhH-GPD domain-containing protein	METHYL-CPG-BINDING DOMAIN PROTEIN 4-LIKE PROTEIN (PTHR15074:SF0)	"chromatin/chromatin-binding, or -regulatory protein(PC00077)"	"DNA binding(GO:0003677);catalytic activity(GO:0003824);catalytic activity, acting on DNA(GO:0140097)"	DNA repair(GO:0006281);base-excision repair(GO:0006284)	nucleus(GO:0005634)
SORBI_3004G334300	"N-alpha-acetyltransferase 35, NatC auxiliary subunit"	"N-ALPHA-ACETYLTRANSFERASE 35, NATC AUXILIARY SUBUNIT (PTHR21373:SF0)"	acetyltransferase(PC00038)			cytoplasm(GO:0005737);NatC complex(GO:0031417)
SORBI_3001G026100	Phospholipid_glycerol acyltransferase domain-containing protein	OS01G0329000 PROTEIN (PTHR15486:SF90)	scaffold/adaptor protein(PC00226)	acyltransferase activity(GO:0016746)		membrane(GO:0016020)
SORBI_3002G251501	Pectinesterase inhibitor domain-containing protein					
SORBI_3008G109950	DNA2_NAM7 helicase helicase domain-containing protein			helicase activity(GO:0004386)		
SORBI_3001G402500	W2 domain-containing protein	EUKARYOTIC TRANSLATION INITIATION FACTOR 5 (PTHR23001:SF7)	translation initiation factor(PC00224)	translation initiation factor activity(GO:0003743);GDP-dissociation inhibitor activity(GO:0005092);eukaryotic initiation factor eIF2 binding(GO:0071074)	formation of cytoplasmic translation initiation complex(GO:0001732);translational initiation(GO:0006413)	cytosol(GO:0005829)
SORBI_3001G187600	Tyrosine N-monooxygenase	OS04G0171600 PROTEIN (PTHR24298:SF143)	oxygenase(PC00177)	"monooxygenase activity(GO:0004497);iron ion binding(GO:0005506);oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen(GO:0016705);heme binding(GO:0020037)"		
SORBI_3008G081500	Uncharacterized protein	MAJOR FACILITATOR SUPERFAMILY (MFS) PROFILE DOMAIN-CONTAINING PROTEIN (PTHR11654:SF377)	transporter(PC00227)	transmembrane transporter activity(GO:0022857)	transmembrane transport(GO:0055085)	membrane(GO:0016020)
SORBI_3004G047700	Uncharacterized protein	OS02G0158600 PROTEIN (PTHR35513:SF1)				
SORBI_3008G097966	Uncharacterized protein			ATP binding(GO:0005524);ATP-dependent protein folding chaperone(GO:0140662)	protein folding(GO:0006457)	
SORBI_3010G119600	PGG domain-containing protein	OS06G0285941 PROTEIN (PTHR24177:SF412)	scaffold/adaptor protein(PC00226)			
SORBI_3008G106800	NmrA-like domain-containing protein	PINORESINOL REDUCTASE 1-RELATED (PTHR43349:SF4)	oxidoreductase(PC00176)	pinoresinol reductase activity(GO:0010283);oxidoreductase activity(GO:0016491)	lignan biosynthetic process(GO:0009807)	
SORBI_3010G145650	Uncharacterized protein					
SORBI_3001G158000	Selenoprotein H	SELENOPROTEIN H (PTHR33638:SF1)				Golgi apparatus(GO:0005794)
SORBI_3010G051700	DNA topoisomerase	DNA TOPOISOMERASE (PTHR42785:SF1)	DNA metabolism protein(PC00009)	"DNA binding(GO:0003677);DNA topoisomerase activity(GO:0003916);DNA topoisomerase type I (single strand cut, ATP-independent) activity(GO:0003917)"	DNA topological change(GO:0006265);chromosome segregation(GO:0007059)	chromosome(GO:0005694)
SORBI_3007G163300	DUF1618 domain-containing protein	OS09G0128900 PROTEIN (PTHR33086:SF52)				
SORBI_3001G201500	RNA helicase	DEAD-BOX ATP-DEPENDENT RNA HELICASE 12 (PTHR47960:SF24)	RNA helicase(PC00032)	nucleic acid binding(GO:0003676);RNA helicase activity(GO:0003724);ATP binding(GO:0005524)	negative regulation of translation(GO:0017148);P-body assembly(GO:0033962);stress granule assembly(GO:0034063)	P-body(GO:0000932);cytoplasmic stress granule(GO:0010494)
SORBI_3003G105900	RING-type domain-containing protein	OS01G0104100 PROTEIN (PTHR15315:SF89)				cytoplasm(GO:0005737)
SORBI_3001G289400	AMMECR1 domain-containing protein	AMME SYNDROME CANDIDATE GENE 1 PROTEIN (PTHR13016:SF0)				
SORBI_3005G196000	Major facilitator superfamily (MFS) profile domain-containing protein	POLYOL TRANSPORTER 1-RELATED (PTHR23500:SF582)	secondary carrier transporter(PC00258)	carbohydrate transmembrane transporter activity(GO:0015144);transmembrane transporter activity(GO:0022857)	carbohydrate transmembrane transport(GO:0034219);transmembrane transport(GO:0055085)	membrane(GO:0016020)
SORBI_3001G230400	Pectate lyase	PECTATE LYASE (PTHR31683:SF11)	lyase(PC00144)	pectate lyase activity(GO:0030570)	pectin catabolic process(GO:0045490)	
SORBI_3003G088400	Bowman-Birk serine protease inhibitors family domain-containing protein	BOWMAN-BIRK TYPE WOUND-INDUCED PROTEINASE INHIBITOR WIP1 (PTHR37378:SF8)		serine-type endopeptidase inhibitor activity(GO:0004867)		extracellular region(GO:0005576)
SORBI_3002G149200	PGG domain-containing protein	OS06G0294000 PROTEIN (PTHR24177:SF45)	scaffold/adaptor protein(PC00226)			
SORBI_3001G106100	Uncharacterized protein	BLOC-1-RELATED COMPLEX SUBUNIT 5 (PTHR36409:SF1)				
SORBI_3008G131601	Ubiquitin-like protease family profile domain-containing protein					
SORBI_3010G117500	Uncharacterized protein	DUF538 DOMAIN-CONTAINING PROTEIN (PTHR31676:SF87)				
SORBI_3007G197800	60S ribosomal protein L32	60S RIBOSOMAL PROTEIN L32 (PTHR23413:SF10)	ribosomal protein(PC00202)	structural constituent of ribosome(GO:0003735)	translation(GO:0006412)	ribosome(GO:0005840);cytosolic large ribosomal subunit(GO:0022625)
SORBI_3003G364600	"Glucan endo-1,3-beta-D-glucosidase"	OS01G0860800 PROTEIN (PTHR32227:SF71)	glucosidase(PC00108)	"hydrolase activity, hydrolyzing O-glycosyl compounds(GO:0004553);glucan endo-1,3-beta-D-glucosidase activity(GO:0042973)"	carbohydrate metabolic process(GO:0005975)	
SORBI_3007G103100	Mediator of RNA polymerase II transcription subunit 14	MEDIATOR OF RNA POLYMERASE II TRANSCRIPTION SUBUNIT 14 (PTHR12809:SF2)	general transcription factor(PC00259)	transcription coregulator activity(GO:0003712)	regulation of transcription by RNA polymerase II(GO:0006357)	nucleus(GO:0005634);mediator complex(GO:0016592);core mediator complex(GO:0070847)
SORBI_3010G150100	WRKY transcription factor 19	OS11G0223400 PROTEIN (PTHR31827:SF60)				
SORBI_3001G134100	AMP-activated protein kinase glycogen-binding domain-containing protein	"PROTEIN PTST HOMOLOG 2, CHLOROPLASTIC (PTHR47434:SF1)"		amylopectin binding(GO:2001066);starch binding(GO:2001070)	starch biosynthetic process(GO:0019252);regulation of endosperm development(GO:2000014)	chloroplast(GO:0009507)
SORBI_3001G293000	Peroxidase	PEROXIDASE 60 (PTHR31235:SF13)	peroxidase(PC00180)	peroxidase activity(GO:0004601);heme binding(GO:0020037);metal ion binding(GO:0046872);lactoperoxidase activity(GO:0140825)	response to oxidative stress(GO:0006979);hydrogen peroxide catabolic process(GO:0042744);cellular oxidant detoxification(GO:0098869)	extracellular region(GO:0005576)
SORBI_3003G040800	WRKY domain-containing protein	WRKY TRANSCRIPTION FACTOR 13-RELATED (PTHR31221:SF17)	DNA-binding transcription factor(PC00218)	DNA-binding transcription factor activity(GO:0003700);sequence-specific DNA binding(GO:0043565)	regulation of DNA-templated transcription(GO:0006355)	nucleus(GO:0005634)
SORBI_3001G233532	UBC core domain-containing protein	OS10G0447100 PROTEIN (PTHR24068:SF488)	ubiquitin-protein ligase(PC00234)	"ATP binding(GO:0005524);transferase activity(GO:0016740);ubiquitin conjugating enzyme activity(GO:0061631);catalytic activity, acting on a protein(GO:0140096)"	protein polyubiquitination(GO:0000209);ubiquitin-dependent protein catabolic process(GO:0006511)	
SORBI_3008G148400	BFN domain-containing protein	BIFUNCTIONAL NUCLEASE 1 (PTHR15160:SF13)	ubiquitin-protein ligase(PC00234)	nuclease activity(GO:0004518)		VCB complex(GO:0030891)
SORBI_3002G001700	C2H2-type domain-containing protein	TRANSCRIPTIONAL REGULATOR SUPERMAN (PTHR45801:SF110)			regulation of DNA-templated transcription(GO:0006355)	nucleus(GO:0005634)
SORBI_3002G174200	WRKY domain-containing protein	WRKY74-SUPERFAMILY OF TFS HAVING WRKY AND ZINC FINGER DOMAINS (PTHR31282:SF116)	DNA-binding transcription factor(PC00218)	DNA-binding transcription factor activity(GO:0003700);sequence-specific DNA binding(GO:0043565)	regulation of DNA-templated transcription(GO:0006355);response to stress(GO:0006950)	nucleus(GO:0005634)
SORBI_3009G087200	Protein kinase domain-containing protein	SERINE_THREONINE-PROTEIN KINASE AGC1-5 (PTHR45637:SF9)		protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524)		
SORBI_3010G194700	ARID domain-containing protein	PROTEIN DEAD RINGER (PTHR15348:SF0)	DNA-binding transcription factor(PC00218)	DNA binding(GO:0003677)	regulation of DNA-templated transcription(GO:0006355);regulation of transcription by RNA polymerase II(GO:0006357)	
SORBI_3001G191200	Auxin-repressed protein	DORMANCY-ASSOCIATED PROTEIN 1 (PTHR33565:SF2)				
SORBI_3002G210700	Pectinesterase	PECTINESTERASE (PTHR31707:SF192)	esterase(PC00097)	enzyme inhibitor activity(GO:0004857);pectinesterase activity(GO:0030599)	cell wall modification(GO:0042545);pectin catabolic process(GO:0045490)	
SORBI_3001G099100	Endoglucanase	ENDOGLUCANASE 10 (PTHR22298:SF171)		"hydrolase activity, hydrolyzing O-glycosyl compounds(GO:0004553);cellulase activity(GO:0008810)"	carbohydrate metabolic process(GO:0005975)	
SORBI_3006G117600	Uncharacterized protein	BETA-GLUCOSIDASE 12 (PTHR10353:SF319)	glycosidase(PC00110)	"hydrolase activity, hydrolyzing O-glycosyl compounds(GO:0004553);beta-galactosidase activity(GO:0004565);beta-glucosidase activity(GO:0008422);beta-D-fucosidase activity(GO:0033907)"	carbohydrate metabolic process(GO:0005975)	
SORBI_3001G106550	Secreted protein					
SORBI_3006G044532	CCHC-type domain-containing protein	OS11G0296500 PROTEIN (PTHR23002:SF89)	RNA metabolism protein(PC00031)	nucleic acid binding(GO:0003676);single-stranded RNA binding(GO:0003727);mRNA binding(GO:0003729);zinc ion binding(GO:0008270);translation regulator activity(GO:0045182)	positive regulation of cytoplasmic translation(GO:2000767)	cytoplasm(GO:0005737)
SORBI_3005G013200	BAH domain-containing protein	PROTEIN ANTI-SILENCING 1 (PTHR47073:SF2)		nucleic acid binding(GO:0003676);chromatin binding(GO:0003682)		
SORBI_3004G006400	Cytochrome P450	CYTOCHROME P450 89A2 (PTHR24298:SF892)	oxygenase(PC00177)	"monooxygenase activity(GO:0004497);iron ion binding(GO:0005506);oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen(GO:0016705);heme binding(GO:0020037)"		membrane(GO:0016020)
SORBI_3002G185900	RING-type domain-containing protein	RING_U-BOX SUPERFAMILY PROTEIN (PTHR46405:SF3)				
